change-speed,kilometer,price,shangpai-date,standard,title
0,19.12,14.5,7.166666666666667,5,1
1,13.86,1.8,1.0833333333333333,3,19
0,10.22,20.5,9.166666666666666,4,36
0,2.75,32.5,6.083333333333333,4,1
0,7.74,15.8,4.083333333333333,5,49
0,6.79,16.5,6.083333333333333,5,57
0,2.1,52.8,2.3333333333333335,6,5
0,5.84,31.3,3.5,5,14
0,12.5,19.98,7.5,4,14
0,10.94,16.38,7.083333333333333,4,14
1,11.82,1.2,1.0833333333333333,4,37
0,11.84,4.6,6.583333333333333,5,18
0,17.18,3.0,1.4166666666666667,4,49
0,15.53,8.68,6.5,5,32
0,11.54,7.5,9.083333333333334,4,36
0,14.88,7.0,1.3333333333333333,4,1
0,7.52,20.0,4.666666666666667,4,39
0,8.04,11.8,4.416666666666667,5,23
0,4.15,23.8,2.3333333333333335,6,49
0,2.62,7.2,3.75,5,28
0,3.72,26.58,4.583333333333333,5,49
1,9.48,4.5,5.333333333333333,5,28
0,7.12,3.8,1.5,4,18
0,5.48,27.5,3.3333333333333335,5,1
0,5.03,18.8,4.25,5,39
0,8.21,16.5,3.0833333333333335,5,49
0,3.73,18.68,3.0833333333333335,5,14
0,3.48,13.9,4.583333333333333,5,17
0,0.94,13.58,1.3333333333333333,6,28
1,4.22,1.5,1.4166666666666667,4,29
1,5.86,4.6,5.083333333333333,5,42
1,0.37,3.6,0.75,6,50
0,3.75,21.0,6.75,5,14
1,3.77,2.9,5.5,5,42
0,8.34,6.8,3.75,5,42
0,3.99,3.8,4.583333333333333,5,42
0,4.87,5.58,5.583333333333333,5,23
0,17.8,3.8,1.0833333333333333,3,1
0,16.99,3.98,1.0833333333333333,4,17
0,20.23,8.0,8.083333333333334,4,17
1,6.07,1.88,7.333333333333333,4,11
0,4.71,5.5,5.416666666666667,5,28
1,2.79,5.5,5.5,4,28
0,12.53,11.88,6.083333333333333,4,49
0,6.56,9.5,4.333333333333333,5,36
0,17.85,10.5,1.6666666666666665,4,57
0,2.03,20.8,2.5833333333333335,5,17
0,2.66,3.35,3.0833333333333335,5,50
0,2.59,8.55,1.3333333333333333,6,28
0,4.14,14.6,3.0833333333333335,5,49
1,6.75,2.0,6.666666666666667,4,42
0,9.35,10.99,7.083333333333333,4,17
0,3.74,4.3,3.0833333333333335,5,3
0,1.36,150.0,2.3333333333333335,6,5
0,8.38,40.0,8.666666666666666,5,5
0,5.59,18.3,2.0833333333333335,5,49
0,7.3,5.6,6.416666666666667,5,23
0,9.55,7.68,6.416666666666667,5,36
0,6.55,7.8,4.083333333333333,5,17
0,10.67,5.8,7.5,4,36
0,2.15,16.8,0.08333333333333333,6,1
1,6.58,3.8,7.583333333333333,5,28
0,9.01,5.38,6.083333333333333,5,28
1,9.27,0.75,1.6666666666666665,3,16
0,12.69,13.5,4.333333333333333,5,49
0,2.94,8.0,3.0,5,26
1,2.17,4.25,3.3333333333333335,5,3
1,3.76,4.2,4.0,5,23
0,17.37,17.68,1.3333333333333333,4,14
1,8.72,2.5,7.75,4,42
0,2.57,32.0,2.75,6,49
0,7.87,6.8,4.0,5,42
1,2.82,3.5,4.083333333333333,5,8
0,6.54,19.68,7.0,5,4
1,3.56,4.5,5.083333333333333,5,37
0,4.39,59.8,2.0833333333333335,5,5
1,1.08,5.98,1.6666666666666665,6,3
0,1.96,42.5,0.08333333333333333,6,57
0,7.47,17.5,4.5,5,17
0,0.84,8.5,0.75,6,42
0,4.27,12.0,2.3333333333333335,6,16
0,7.87,11.5,8.333333333333334,4,49
0,5.92,18.6,6.25,5,14
0,5.54,7.38,5.083333333333333,5,19
0,7.44,35.0,4.083333333333333,5,14
0,19.51,12.8,1.1666666666666667,4,4
0,5.26,18.35,3.5833333333333335,5,17
0,2.64,43.8,1.25,6,14
0,6.56,10.3,4.666666666666667,5,23
0,3.66,16.38,3.0833333333333335,5,23
0,8.92,13.88,5.666666666666667,5,49
0,4.28,46.0,0.75,6,14
0,4.24,12.8,2.0833333333333335,5,1
1,3.94,4.8,3.0833333333333335,5,28
1,8.61,8.3,4.583333333333333,5,17
0,8.18,15.8,4.333333333333333,5,14
0,6.24,4.5,8.583333333333334,4,18
0,14.39,7.8,8.333333333333334,4,4
0,12.26,3.98,1.4166666666666667,4,17
0,9.09,5.0,5.083333333333333,5,23
0,1.48,14.38,2.1666666666666665,6,1
1,1.35,4.3,4.083333333333333,5,43
0,8.82,13.8,8.333333333333334,4,4
0,6.45,16.0,6.583333333333333,5,14
0,2.2,12.0,1.4166666666666667,6,32
0,3.38,4.88,4.5,5,3
0,5.34,5.5,6.0,5,28
1,5.99,8.5,1.5,6,38
1,8.38,5.3,5.416666666666667,5,3
0,4.02,15.5,3.0,5,49
0,0.43,29.0,3.1666666666666665,5,57
0,9.22,8.75,8.666666666666666,4,14
1,9.37,2.58,4.0,5,43
0,2.88,16.0,3.0833333333333335,5,17
0,7.46,9.88,1.0833333333333333,6,28
0,7.96,13.0,5.666666666666667,5,49
0,0.98,9.99,1.5,6,28
0,4.22,49.0,3.75,5,5
0,0.32,11.5,1.4166666666666667,6,28
0,4.5,112.0,3.25,5,5
1,7.76,2.0,7.083333333333333,5,11
1,9.79,1.7,9.333333333333334,4,18
0,2.55,16.68,2.0833333333333335,6,62
1,5.02,3.98,7.666666666666667,5,18
0,0.91,9.5,1.6666666666666665,6,23
0,1.81,12.98,1.5833333333333335,6,28
0,7.67,38.0,1.5833333333333335,6,4
0,5.99,15.0,5.5,5,4
0,12.26,1.0,1.0833333333333333,3,18
0,9.09,6.0,9.083333333333334,4,4
0,6.47,14.99,2.0833333333333335,5,49
1,5.81,3.6,6.0,5,3
0,10.24,16.5,8.083333333333334,4,4
0,10.77,18.5,7.5,4,49
0,6.86,6.58,4.583333333333333,5,42
0,14.65,17.8,6.0,4,4
0,13.35,30.0,7.666666666666667,5,4
0,5.62,7.0,4.166666666666667,5,28
0,20.55,5.28,1.25,4,17
0,8.82,30.18,4.166666666666667,5,14
1,5.01,2.5,4.0,5,50
0,2.34,16.5,4.0,5,14
1,12.12,1.98,7.0,4,42
1,8.29,2.6,6.0,4,18
0,3.47,35.0,2.3333333333333335,6,14
0,4.73,20.5,2.3333333333333335,6,36
0,3.93,16.5,5.083333333333333,5,53
0,4.0,14.5,2.0,6,1
0,2.62,8.6,2.4166666666666665,6,28
0,4.11,28.5,2.4166666666666665,6,1
0,3.02,41.7,1.1666666666666667,6,4
1,2.99,3.3,5.25,5,8
0,14.68,11.0,8.166666666666666,4,17
0,11.92,12.0,9.333333333333334,4,1
0,2.69,17.5,2.0833333333333335,5,49
1,17.58,5.98,5.666666666666667,5,37
0,10.88,4.8,5.083333333333333,5,23
0,7.4,26.98,6.0,4,57
0,7.57,20.5,6.166666666666667,5,57
0,8.05,6.98,5.083333333333333,5,42
0,5.02,15.8,3.3333333333333335,5,17
0,10.55,16.8,5.083333333333333,5,49
0,5.51,15.98,2.5,5,49
0,3.06,10.0,2.75,5,62
1,1.12,8.8,6.0,5,20
0,4.08,30.98,2.0833333333333335,5,4
0,6.03,7.0,1.3333333333333333,4,17
0,3.5,42.0,2.0833333333333335,6,14
0,6.29,4.8,6.583333333333333,4,28
0,2.45,9.28,1.5833333333333335,6,42
1,9.33,4.8,8.416666666666666,4,43
